lottery,draw_number,draw_date_time,my_field1,my_field2,win_field1,win_field2,win_amount
Премьер,010059,27 августа 2025 10:54 МСК,,,"Номер билета:,1041 3111 0000 1723 1708,Цена билета:,30 ₽,Дата покупки билета:,27 августа 2025,Название лотереи:,Премьер,Тираж №:,010059,Дата тиража:,27 августа 2025,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1723 1708,Цена билета:,30 ₽,Дата покупки билета:,27 августа 2025,Название лотереи:,Премьер,Тираж №:,010059,Дата тиража:,27 августа 2025,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
14
19
4
7
Поле 2
19
12
13
11"
5 из 37,024345,8 января 2024 21:09 МСК,,,"Номер билета:,1040 1111 0000 0580 9391,Цена билета:,10 ₽,Дата покупки билета:,8 января 2024,Название лотереи:,5 из 37,Тираж №:,024345,Дата тиража:,8 января 2024,Место тиража:,г. Москва,Время тиража:,21:09 МСК",,"4
25
9
1
5"
Форсаж 75,020622,10 января 2024 21:15 МСК,,,,,0
Лавина призов,003312,19 сентября 2025 20:18 МСК,,,"Номер билета:,1010 2111 0000 1928 7779,Цена билета:,100 ₽,Дата покупки билета:,19 сентября 2025,Название лотереи:,Лавина призов,Тираж №:,003312,Дата тиража:,19 сентября 2025,Место тиража:,г. Москва,Время тиража:,20:18 МСК,Купить ∙ 100 ₽,,,","Номер билета:,1010 2111 0000 1928 7779,Цена билета:,100 ₽,Дата покупки билета:,19 сентября 2025,Название лотереи:,Лавина призов,Тираж №:,003312,Дата тиража:,19 сентября 2025,Место тиража:,г. Москва,Время тиража:,20:18 МСК,Купить ∙ 100 ₽,,,","Поле 1
8
20
10
16
Поле 2
9
10
20
18"
5 из 37,024308,6 декабря 2023 20:09 МСК,,,"Номер билета:,1040 1111 0000 0288 2942,Цена билета:,10 ₽,Дата покупки билета:,5 декабря 2023,Название лотереи:,5 из 37,Тираж №:,024308,Дата тиража:,6 декабря 2023,Место тиража:,г. Москва,Время тиража:,20:09 МСК",,"3
6
18
8
2"
Премьер,012698,18 ноября 2025 12:09 МСК,,,"Номер билета:,1041 3111 0000 2336 8147,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012698,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,12:09 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2336 8147,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012698,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,12:09 МСК,Купить ∙ 70 ₽,,,","Поле 1
13
7
14
4
Поле 2
7
2
6
12"
Трилогия,001289,4 февраля 2025 14:00 МСК,,,"Номер билета:,1021 4111 0000 0177 5135,Цена билета:,150 ₽,Дата покупки билета:,4 февраля 2025,Название лотереи:,Трилогия,Тираж №:,001289,Дата тиража:,4 февраля 2025,Место тиража:,г. Москва,Время тиража:,14:00 МСК,Купить ∙ 100 ₽,,,","Номер билета:,1021 4111 0000 0177 5135,Цена билета:,150 ₽,Дата покупки билета:,4 февраля 2025,Название лотереи:,Трилогия,Тираж №:,001289,Дата тиража:,4 февраля 2025,Место тиража:,г. Москва,Время тиража:,14:00 МСК,Купить ∙ 100 ₽,,,","Поле 1
20
9
7
15
Поле 2
3
2
Поле 3
2"
Топ 12,004663,17 января 2024 01:54 МСК,,,"Номер билета:,1040 4111 0000 0403 8428,Цена билета:,100 ₽,Дата покупки билета:,17 января 2024,Название лотереи:,Топ 12,Тираж №:,004663,Дата тиража:,17 января 2024,Место тиража:,г. Москва,Время тиража:,01:54 МСК,Купить ∙ 100 ₽,,,",,"14
23
22
24
4
8
2
7
3
9
11
1"
Премьер,005022,11 февраля 2025 18:54 МСК,,,"Номер билета:,1041 3111 0000 0592 0976,Цена билета:,200 ₽,Дата покупки билета:,11 февраля 2025,Название лотереи:,Премьер,Тираж №:,005022,Дата тиража:,11 февраля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0592 0976,Цена билета:,200 ₽,Дата покупки билета:,11 февраля 2025,Название лотереи:,Премьер,Тираж №:,005022,Дата тиража:,11 февраля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
20
13
9
6
Поле 2
16
4
10
17"
Премьер,007480,25 мая 2025 21:24 МСК,,,"Номер билета:,1041 3111 0000 0925 5901,Цена билета:,200 ₽,Дата покупки билета:,25 мая 2025,Название лотереи:,Премьер,Тираж №:,007480,Дата тиража:,25 мая 2025,Место тиража:,г. Москва,Время тиража:,21:24 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0925 5901,Цена билета:,200 ₽,Дата покупки билета:,25 мая 2025,Название лотереи:,Премьер,Тираж №:,007480,Дата тиража:,25 мая 2025,Место тиража:,г. Москва,Время тиража:,21:24 МСК,Купить ∙ 70 ₽,,,","Поле 1
2
16
13
5
Поле 2
4
6
10
14"
Премьер,003446,6 декабря 2024 19:54 МСК,,,"Номер билета:,1041 3111 0000 0398 3512,Цена билета:,200 ₽,Дата покупки билета:,6 декабря 2024,Название лотереи:,Премьер,Тираж №:,003446,Дата тиража:,6 декабря 2024,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0398 3512,Цена билета:,200 ₽,Дата покупки билета:,6 декабря 2024,Название лотереи:,Премьер,Тираж №:,003446,Дата тиража:,6 декабря 2024,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
5
18
3
4
Поле 2
5
19
18
10"
Форсаж 75,000231,30 августа 2022 11:00 МСК,,,,,0
Трижды три,026621,2 января 2024 10:45 МСК,,,,,0
Премьер,002071,9 октября 2024 09:54 МСК,,,"Номер билета:,1041 3111 0000 0239 3471,Цена билета:,200 ₽,Дата покупки билета:,9 октября 2024,Название лотереи:,Премьер,Тираж №:,002071,Дата тиража:,9 октября 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0239 3471,Цена билета:,200 ₽,Дата покупки билета:,9 октября 2024,Название лотереи:,Премьер,Тираж №:,002071,Дата тиража:,9 октября 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
10
13
3
12
Поле 2
19
8
5
9"
Мечталлион,000100,18 августа 2024 00:40 МСК,,,,,0
Премьер,008440,13 ноября 2023 20:57 МСК,,,"Номер билета:,1051 1111 0000 0214 8257,Цена билета:,300 ₽,Дата покупки билета:,13 ноября 2023,Название лотереи:,Премьер,Тираж №:,008440,Дата тиража:,13 ноября 2023,Место тиража:,г. Москва,Время тиража:,20:57 МСК","Номер билета:,1051 1111 0000 0214 8257,Цена билета:,300 ₽,Дата покупки билета:,13 ноября 2023,Название лотереи:,Премьер,Тираж №:,008440,Дата тиража:,13 ноября 2023,Место тиража:,г. Москва,Время тиража:,20:57 МСК","Поле 1
13
2
8
17
Поле 2
13
19
11
9"
Премьер,001207,1 сентября 2024 18:54 МСК,,,"Номер билета:,1041 3111 0000 0130 8250,Цена билета:,200 ₽,Дата покупки билета:,1 сентября 2024,Название лотереи:,Премьер,Тираж №:,001207,Дата тиража:,1 сентября 2024,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0130 8250,Цена билета:,200 ₽,Дата покупки билета:,1 сентября 2024,Название лотереи:,Премьер,Тираж №:,001207,Дата тиража:,1 сентября 2024,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
19
5
20
2
Поле 2
6
17
4
2"
Премьер,001293,6 сентября 2024 00:54 МСК,,,"Номер билета:,1041 3111 0000 0140 6490,Цена билета:,200 ₽,Дата покупки билета:,5 сентября 2024,Название лотереи:,Премьер,Тираж №:,001293,Дата тиража:,6 сентября 2024,Место тиража:,г. Москва,Время тиража:,00:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0140 6490,Цена билета:,200 ₽,Дата покупки билета:,5 сентября 2024,Название лотереи:,Премьер,Тираж №:,001293,Дата тиража:,6 сентября 2024,Место тиража:,г. Москва,Время тиража:,00:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
10
7
11
20
Поле 2
10
13
15
16"
Премьер,000487,1 августа 2024 20:54 МСК,,,"Номер билета:,1041 3111 0000 0054 1574,Цена билета:,200 ₽,Дата покупки билета:,1 августа 2024,Название лотереи:,Премьер,Тираж №:,000487,Дата тиража:,1 августа 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0054 1574,Цена билета:,200 ₽,Дата покупки билета:,1 августа 2024,Название лотереи:,Премьер,Тираж №:,000487,Дата тиража:,1 августа 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
4
5
17
8
Поле 2
14
3
17
12"
Премьер,010378,7 сентября 2025 23:54 МСК,,,"Номер билета:,1041 3111 0000 1854 6791,Цена билета:,30 ₽,Дата покупки билета:,7 сентября 2025,Название лотереи:,Премьер,Тираж №:,010378,Дата тиража:,7 сентября 2025,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1854 6791,Цена билета:,30 ₽,Дата покупки билета:,7 сентября 2025,Название лотереи:,Премьер,Тираж №:,010378,Дата тиража:,7 сентября 2025,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
9
3
19
1
Поле 2
12
16
18
1"
Премьер,002564,30 октября 2024 09:54 МСК,,,"Номер билета:,1041 3111 0000 0308 2086,Цена билета:,200 ₽,Дата покупки билета:,30 октября 2024,Название лотереи:,Премьер,Тираж №:,002564,Дата тиража:,30 октября 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0308 2086,Цена билета:,200 ₽,Дата покупки билета:,30 октября 2024,Название лотереи:,Премьер,Тираж №:,002564,Дата тиража:,30 октября 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
15
3
19
11
Поле 2
9
19
6
13"
Форсаж 75,021797,25 января 2024 14:00 МСК,,,,,0
Премьер,010262,3 сентября 2025 19:54 МСК,,,"Номер билета:,1041 3111 0000 1804 7077,Цена билета:,30 ₽,Дата покупки билета:,3 сентября 2025,Название лотереи:,Премьер,Тираж №:,010262,Дата тиража:,3 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1804 7077,Цена билета:,30 ₽,Дата покупки билета:,3 сентября 2025,Название лотереи:,Премьер,Тираж №:,010262,Дата тиража:,3 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
1
10
15
19
Поле 2
14
7
5
19"
Премьер,002562,30 октября 2024 07:54 МСК,,,"Номер билета:,1041 3111 0000 0307 9927,Цена билета:,200 ₽,Дата покупки билета:,30 октября 2024,Название лотереи:,Премьер,Тираж №:,002562,Дата тиража:,30 октября 2024,Место тиража:,г. Москва,Время тиража:,07:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0307 9927,Цена билета:,200 ₽,Дата покупки билета:,30 октября 2024,Название лотереи:,Премьер,Тираж №:,002562,Дата тиража:,30 октября 2024,Место тиража:,г. Москва,Время тиража:,07:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
1
16
11
3
Поле 2
16
13
19
8"
Форсаж 75,039198,5 ноября 2024 01:30 МСК,,,,,0
Премьер,003282,29 ноября 2024 20:54 МСК,,,"Номер билета:,1041 3111 0000 0386 3585,Цена билета:,200 ₽,Дата покупки билета:,29 ноября 2024,Название лотереи:,Премьер,Тираж №:,003282,Дата тиража:,29 ноября 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0386 3585,Цена билета:,200 ₽,Дата покупки билета:,29 ноября 2024,Название лотереи:,Премьер,Тираж №:,003282,Дата тиража:,29 ноября 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
14
20
2
6
Поле 2
15
4
14
18"
Премьер,001712,23 сентября 2024 22:54 МСК,,,"Номер билета:,1041 3111 0000 0189 8590,Цена билета:,200 ₽,Дата покупки билета:,23 сентября 2024,Название лотереи:,Премьер,Тираж №:,001712,Дата тиража:,23 сентября 2024,Место тиража:,г. Москва,Время тиража:,22:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0189 8590,Цена билета:,200 ₽,Дата покупки билета:,23 сентября 2024,Название лотереи:,Премьер,Тираж №:,001712,Дата тиража:,23 сентября 2024,Место тиража:,г. Москва,Время тиража:,22:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
7
2
6
10
Поле 2
6
3
2
11"
Премьер,008164,19 июня 2025 17:54 МСК,,,"Номер билета:,1041 3111 0000 1108 5953,Цена билета:,20 ₽,Дата покупки билета:,19 июня 2025,Название лотереи:,Премьер,Тираж №:,008164,Дата тиража:,19 июня 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1108 5953,Цена билета:,20 ₽,Дата покупки билета:,19 июня 2025,Название лотереи:,Премьер,Тираж №:,008164,Дата тиража:,19 июня 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
20
10
19
7
Поле 2
13
16
17
5"
Великолепная 8,049153,11 сентября 2025 10:33 МСК,,,"Номер билета:,1010 5111 0000 8373 6578,Цена билета:,40 ₽,Дата покупки билета:,11 сентября 2025,Название лотереи:,Великолепная 8,Тираж №:,049153,Дата тиража:,11 сентября 2025,Место тиража:,г. Москва,Время тиража:,10:33 МСК,Купить ∙ 40 ₽,,,","Номер билета:,1010 5111 0000 8373 6578,Цена билета:,40 ₽,Дата покупки билета:,11 сентября 2025,Название лотереи:,Великолепная 8,Тираж №:,049153,Дата тиража:,11 сентября 2025,Место тиража:,г. Москва,Время тиража:,10:33 МСК,Купить ∙ 40 ₽,,,","Поле 1
2
9
4
18
10
13
11
16
Поле 2
1"
Премьер,013631,14 декабря 2025 17:39 МСК,,,"Номер билета:,1041 3111 0000 2478 5663,Цена билета:,70 ₽,Дата покупки билета:,14 декабря 2025,Название лотереи:,Премьер,Тираж №:,013631,Дата тиража:,14 декабря 2025,Место тиража:,г. Москва,Время тиража:,17:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2478 5663,Цена билета:,70 ₽,Дата покупки билета:,14 декабря 2025,Название лотереи:,Премьер,Тираж №:,013631,Дата тиража:,14 декабря 2025,Место тиража:,г. Москва,Время тиража:,17:39 МСК,Купить ∙ 70 ₽,,,","Поле 1
2
13
15
8
Поле 2
19
14
5
2"
Премьер,004287,11 января 2025 14:54 МСК,,,"Номер билета:,1041 3111 0000 0497 8892,Цена билета:,200 ₽,Дата покупки билета:,11 января 2025,Название лотереи:,Премьер,Тираж №:,004287,Дата тиража:,11 января 2025,Место тиража:,г. Москва,Время тиража:,14:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0497 8892,Цена билета:,200 ₽,Дата покупки билета:,11 января 2025,Название лотереи:,Премьер,Тираж №:,004287,Дата тиража:,11 января 2025,Место тиража:,г. Москва,Время тиража:,14:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
9
12
3
17
Поле 2
4
10
15
11"
Цветные шары,001328,31 октября 2024 13:24 МСК,,,,,0
Премьер,002790,8 ноября 2024 23:54 МСК,,,"Номер билета:,1041 3111 0000 0328 2274,Цена билета:,200 ₽,Дата покупки билета:,8 ноября 2024,Название лотереи:,Премьер,Тираж №:,002790,Дата тиража:,8 ноября 2024,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0328 2274,Цена билета:,200 ₽,Дата покупки билета:,8 ноября 2024,Название лотереи:,Премьер,Тираж №:,002790,Дата тиража:,8 ноября 2024,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
12
15
4
11
Поле 2
7
9
1
11"
Трижды три,026073,18 ноября 2023 19:00 МСК,,,,,0
Премьер,010703,19 сентября 2025 19:54 МСК,,,"Номер билета:,1041 3111 0000 1951 6303,Цена билета:,50 ₽,Дата покупки билета:,19 сентября 2025,Название лотереи:,Премьер,Тираж №:,010703,Дата тиража:,19 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1951 6303,Цена билета:,50 ₽,Дата покупки билета:,19 сентября 2025,Название лотереи:,Премьер,Тираж №:,010703,Дата тиража:,19 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
1
2
7
14
Поле 2
12
18
10
1"
Премьер,011404,13 октября 2025 02:54 МСК,,,"Номер билета:,1041 3111 0000 2122 9448,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011404,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,02:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2122 9448,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011404,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,02:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
7
14
11
18
Поле 2
19
3
12
15"
Премьер,006181,1 апреля 2025 22:54 МСК,,,"Номер билета:,1041 3111 0000 0775 9735,Цена билета:,200 ₽,Дата покупки билета:,1 апреля 2025,Название лотереи:,Премьер,Тираж №:,006181,Дата тиража:,1 апреля 2025,Место тиража:,г. Москва,Время тиража:,22:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0775 9735,Цена билета:,200 ₽,Дата покупки билета:,1 апреля 2025,Название лотереи:,Премьер,Тираж №:,006181,Дата тиража:,1 апреля 2025,Место тиража:,г. Москва,Время тиража:,22:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
18
10
17
3
Поле 2
17
2
7
15"
Премьер,013027,27 ноября 2025 18:54 МСК,,,"Номер билета:,1041 3111 0000 2383 1979,Цена билета:,60 ₽,Дата покупки билета:,27 ноября 2025,Название лотереи:,Премьер,Тираж №:,013027,Дата тиража:,27 ноября 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2383 1979,Цена билета:,60 ₽,Дата покупки билета:,27 ноября 2025,Название лотереи:,Премьер,Тираж №:,013027,Дата тиража:,27 ноября 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
5
4
12
10
Поле 2
4
11
12
19"
Премьер,008575,4 июля 2025 15:24 МСК,,,"Номер билета:,1041 3111 0000 1163 7829,Цена билета:,80 ₽,Дата покупки билета:,4 июля 2025,Название лотереи:,Премьер,Тираж №:,008575,Дата тиража:,4 июля 2025,Место тиража:,г. Москва,Время тиража:,15:24 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1163 7829,Цена билета:,80 ₽,Дата покупки билета:,4 июля 2025,Название лотереи:,Премьер,Тираж №:,008575,Дата тиража:,4 июля 2025,Место тиража:,г. Москва,Время тиража:,15:24 МСК,Купить ∙ 70 ₽,,,","Поле 1
18
13
14
7
Поле 2
11
16
15
6"
Премьер,001839,29 сентября 2024 10:54 МСК,,,"Номер билета:,1041 3111 0000 0204 1646,Цена билета:,200 ₽,Дата покупки билета:,29 сентября 2024,Название лотереи:,Премьер,Тираж №:,001839,Дата тиража:,29 сентября 2024,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0204 1646,Цена билета:,200 ₽,Дата покупки билета:,29 сентября 2024,Название лотереи:,Премьер,Тираж №:,001839,Дата тиража:,29 сентября 2024,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
8
12
11
19
Поле 2
9
17
1
7"
Премьер,009894,21 августа 2025 11:54 МСК,,,"Номер билета:,1041 3111 0000 1664 4074,Цена билета:,30 ₽,Дата покупки билета:,21 августа 2025,Название лотереи:,Премьер,Тираж №:,009894,Дата тиража:,21 августа 2025,Место тиража:,г. Москва,Время тиража:,11:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1664 4074,Цена билета:,30 ₽,Дата покупки билета:,21 августа 2025,Название лотереи:,Премьер,Тираж №:,009894,Дата тиража:,21 августа 2025,Место тиража:,г. Москва,Время тиража:,11:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
17
15
2
18
Поле 2
9
20
7
5"
Премьер,000441,30 июля 2024 20:54 МСК,,,"Номер билета:,1041 3111 0000 0047 9344,Цена билета:,200 ₽,Дата покупки билета:,30 июля 2024,Название лотереи:,Премьер,Тираж №:,000441,Дата тиража:,30 июля 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0047 9344,Цена билета:,200 ₽,Дата покупки билета:,30 июля 2024,Название лотереи:,Премьер,Тираж №:,000441,Дата тиража:,30 июля 2024,Место тиража:,г. Москва,Время тиража:,20:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
17
6
12
8
Поле 2
14
1
19
18"
Премьер,006851,30 апреля 2025 09:54 МСК,,,"Номер билета:,1041 3111 0000 0859 9817,Цена билета:,200 ₽,Дата покупки билета:,30 апреля 2025,Название лотереи:,Премьер,Тираж №:,006851,Дата тиража:,30 апреля 2025,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0859 9817,Цена билета:,200 ₽,Дата покупки билета:,30 апреля 2025,Название лотереи:,Премьер,Тираж №:,006851,Дата тиража:,30 апреля 2025,Место тиража:,г. Москва,Время тиража:,09:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
5
17
18
13
Поле 2
15
11
18
17"
Премьер,000468,1 августа 2024 01:54 МСК,,,"Номер билета:,1041 3111 0000 0051 4111,Цена билета:,200 ₽,Дата покупки билета:,1 августа 2024,Название лотереи:,Премьер,Тираж №:,000468,Дата тиража:,1 августа 2024,Место тиража:,г. Москва,Время тиража:,01:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0051 4111,Цена билета:,200 ₽,Дата покупки билета:,1 августа 2024,Название лотереи:,Премьер,Тираж №:,000468,Дата тиража:,1 августа 2024,Место тиража:,г. Москва,Время тиража:,01:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
5
4
3
6
Поле 2
1
18
17
8"
Премьер,010455,10 сентября 2025 19:54 МСК,,,"Номер билета:,1041 3111 0000 1877 6990,Цена билета:,50 ₽,Дата покупки билета:,10 сентября 2025,Название лотереи:,Премьер,Тираж №:,010455,Дата тиража:,10 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1877 6990,Цена билета:,50 ₽,Дата покупки билета:,10 сентября 2025,Название лотереи:,Премьер,Тираж №:,010455,Дата тиража:,10 сентября 2025,Место тиража:,г. Москва,Время тиража:,19:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
1
19
14
13
Поле 2
2
18
16
13"
Премьер,003945,27 декабря 2024 23:54 МСК,,,"Номер билета:,1041 3111 0000 0462 4590,Цена билета:,200 ₽,Дата покупки билета:,27 декабря 2024,Название лотереи:,Премьер,Тираж №:,003945,Дата тиража:,27 декабря 2024,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0462 4590,Цена билета:,200 ₽,Дата покупки билета:,27 декабря 2024,Название лотереи:,Премьер,Тираж №:,003945,Дата тиража:,27 декабря 2024,Место тиража:,г. Москва,Время тиража:,23:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
9
20
14
4
Поле 2
5
18
8
12"
Премьер,001067,26 августа 2024 17:54 МСК,,,"Номер билета:,1041 3111 0000 0116 1286,Цена билета:,200 ₽,Дата покупки билета:,26 августа 2024,Название лотереи:,Премьер,Тираж №:,001067,Дата тиража:,26 августа 2024,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0116 1286,Цена билета:,200 ₽,Дата покупки билета:,26 августа 2024,Название лотереи:,Премьер,Тираж №:,001067,Дата тиража:,26 августа 2024,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
9
20
15
11
Поле 2
10
3
18
8"
5 из 37,000591,30 августа 2022 10:39 МСК,,,"Номер билета:,1040 1111 0000 0002 2452,Цена билета:,150 ₽,Дата покупки билета:,30 августа 2022,Название лотереи:,5 из 37,Тираж №:,000591,Дата тиража:,30 августа 2022,Место тиража:,г. Москва,Время тиража:,10:39 МСК",,"21
26
14
12
11"
Премьер,010785,22 сентября 2025 17:54 МСК,,,"Номер билета:,1041 3111 0000 1971 6797,Цена билета:,50 ₽,Дата покупки билета:,22 сентября 2025,Название лотереи:,Премьер,Тираж №:,010785,Дата тиража:,22 сентября 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1971 6797,Цена билета:,50 ₽,Дата покупки билета:,22 сентября 2025,Название лотереи:,Премьер,Тираж №:,010785,Дата тиража:,22 сентября 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
16
19
6
8
Поле 2
7
19
20
8"
Премьер,005084,14 февраля 2025 10:54 МСК,,,"Номер билета:,1041 3111 0000 0597 2649,Цена билета:,200 ₽,Дата покупки билета:,14 февраля 2025,Название лотереи:,Премьер,Тираж №:,005084,Дата тиража:,14 февраля 2025,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0597 2649,Цена билета:,200 ₽,Дата покупки билета:,14 февраля 2025,Название лотереи:,Премьер,Тираж №:,005084,Дата тиража:,14 февраля 2025,Место тиража:,г. Москва,Время тиража:,10:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
5
10
7
12
Поле 2
17
12
18
4"
Премьер,010206,1 сентября 2025 17:54 МСК,,,"Номер билета:,1041 3111 0000 1779 2777,Цена билета:,30 ₽,Дата покупки билета:,1 сентября 2025,Название лотереи:,Премьер,Тираж №:,010206,Дата тиража:,1 сентября 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 1779 2777,Цена билета:,30 ₽,Дата покупки билета:,1 сентября 2025,Название лотереи:,Премьер,Тираж №:,010206,Дата тиража:,1 сентября 2025,Место тиража:,г. Москва,Время тиража:,17:54 МСК,Купить ∙ 70 ₽,,,","Поле 1
3
14
17
6
Поле 2
17
5
9
16"
Трижды три,002638,9 сентября 2022 13:15 МСК,,,,,0
